id;nom;num_siret;insee;adresse;complement_localisation;commune;url;type_usagers;gratuit;nb_niveaux;nb_places;nb_pl_vl;nb_pmr;nb_voitures_electriques;nb_pl_2roues;hauteur_max;haut_niveau_inf;xlong;ylat;type_ouvrage;type_gestion;delegataire_gestionnaire;dsp;horaire_visit;horaire_abo;geo_shape;geo_point_2d;irve;dsp_periode;denom_comp;an_constr;surf_exploit
92040-P-007;Corentin Celton;80034814600047;92040;19  RUE VAUDETARD, 92130, ISSY-LES-MOULINEAUX;;ISSY-LES-MOULINEAUX;https://fr.parkindigo.com/parking/issy-les-moulineaux-92130/corentin-celton-92160300;tous;FAUX;3;187;;4;1;;190;;2.277431183883996;48.82659359715971;ouvrage;Payant sous barrière;Indigo;GPSO;Du lundi au samedi de 7h00 à 22h00 et le dimanche de 7h00 à 13h00;24h/24 7j/7;"{""coordinates"": [2.277431183883996, 48.82659359715971], ""type"": ""Point""}";48.82659359715971, 2.277431183883996;Oui;2022-2027;Corentin Celton;1994;2244
92040-P-008;Hôtel de Ville;80034814600047;92040;60  RUE DU GENERAL LECLERC, 92130, ISSY-LES-MOULINEAUX;;ISSY-LES-MOULINEAUX;https://fr.parkindigo.com/parking/issy-les-moulineaux-92130/hotel-de-ville-92160200;tous;FAUX;2;270;;6;2;15;190;;2.2740762398644976;48.8247825705239;ouvrage;Payant sous barrière;Indigo;GPSO;Tous les jours de 7h00 à 23h59;24h/24 7j/7;"{""coordinates"": [2.2740762398644976, 48.8247825705239], ""type"": ""Point""}";48.8247825705239, 2.2740762398644976;Oui;2022-2027;Hôtel de Ville;1988;3240
92075-P-047;Niwa;51254612800020;92075;16  RUE RENE COCHE, 92170, VANVES;;VANVES;;tous;FAUX;;46;;1;6;;190;;2.289696238018494;48.81853358246634;ouvrage;Payant sous barrière;Seine Ouest Aménagement;Ville;Tous les jours de 7h00 à 21h00;24h/24 7j/7;"{""coordinates"": [2.289696238018494, 48.81853358246634], ""type"": ""Point""}";48.81853358246634, 2.289696238018494;Oui;;;;
92048-P-046;Avant-Seine;51254612800020;92048;5  RUE DU MARTIN PECHEUR, 92190, MEUDON;;MEUDON;;tous;FAUX;;60;;1;4;;190;;2.2385727986094577;48.819928628060936;ouvrage;Payant sous barrière;Seine Ouest Aménagement;Ville;;;"{""coordinates"": [2.2385727986094577, 48.819928628060936], ""type"": ""Point""}";48.819928628060936, 2.2385727986094577;Oui;;;;
92012-P-019;Cours de l'Île Seguin;80034814600047;92012;COURS DE L'ILE SEGUIN, 92100, BOULOGNE-BILLANCOURT;;BOULOGNE-BILLANCOURT;https://fr.parkindigo.com/parking/boulogne-billancourt-92100/boulogne-cours-de-lile-seguin-92011600;tous;FAUX;3;602;;12;6;;190;;2.2326762863503826;48.82641757834741;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2326762863503826, 48.82641757834741], ""type"": ""Point""}";48.82641757834741, 2.2326762863503826;Oui;2015-2040;Cours de l'Île Seguin;2004;7224
92012-P-020;Rives de Seine;80034814600047;92012;38  QUAI GEORGES GORSE, 92100, BOULOGNE-BILLANCOURT;;BOULOGNE-BILLANCOURT;https://fr.parkindigo.com/parking/boulogne-billancourt-92100/rives-de-seine-92011500;tous;FAUX;3;595;;12;4;;190;;2.2367819683231938;48.82467187814477;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2367819683231938, 48.82467187814477], ""type"": ""Point""}";48.82467187814477, 2.2367819683231938;Oui;2015-2040;Rives de Seine;2014;7140
92012-P-018;Bellefeuille;80034814600047;92012;30  RUE DE LA BELLE FEUILLE, 92100, BOULOGNE-BILLANCOURT;;BOULOGNE-BILLANCOURT;https://fr.parkindigo.com/parking/boulogne-billancourt-92100/bellefeuille-92011100;tous;FAUX;3;287;;1;0;0;190;;2.2431180507449913;48.83742371630228;ouvrage;Payant sous barrière;Indigo;GPSO;"Ouvert tous les jours de 8h00 à 23h59 ; Fermé le dimanche";24h/24 7j/7;"{""coordinates"": [2.2431180507449913, 48.83742371630228], ""type"": ""Point""}";48.83742371630228, 2.2431180507449913;Non;2014-2026;Bellefeuille;NC;3444
92012-P-025;Marché de Billancourt;80034814600047;92012;150  RUE DU VIEUX PONT DE SEVRES, 92100, BOULOGNE-BILLANCOURT;;BOULOGNE-BILLANCOURT;https://fr.parkindigo.com/parking/boulogne-billancourt-92100/marche-92011200;tous;FAUX;2;210;;4;11;2;190;;2.2415295408992435;48.831547246982915;ouvrage;Payant sous barrière;Indigo;GPSO;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.2415295408992435, 48.831547246982915], ""type"": ""Point""}";48.831547246982915, 2.2415295408992435;Oui;2014-2026;Marché;NC;2388
92022-P-037;Parking Le Muguet;;92022;RUE DU COLONEL MARCHAND, 92370, CHAVILLE;Face au 11;CHAVILLE;;tous;VRAI;;10;;;;;N/A;;2.186619447334129;48.80577255425971;enclos_en_surface;Gratuit;;Non;24h/24 7j/7;24h/24 7j/7;"{""coordinates"": [2.186619447334129, 48.80577255425971], ""type"": ""Point""}";48.80577255425971, 2.186619447334129;Non;;;;
92077-P-010;Parking Fausses-Reposes;;92077;ROUTE DE VERSAILLES, 92410, VILLE D'AVRAY;;VILLE D'AVRAY;;tous;VRAI;;57;57;;;;N/A;;2.1574979587533774;48.8150706493098;enclos_en_surface;Gratuit;;Non;7h à 1h 7j/7;7h à 1h 7j/7;"{""coordinates"": [2.1574979587533774, 48.8150706493098], ""type"": ""Point""}";48.8150706493098, 2.1574979587533774;Non;;;;
